name,product_url,part_number,brand_name,category,gross_weight,width,length,warranty,material,photo_url,stock_quantity,price
SONDA LAMBDA,https://testdata.devmka.online/products/82fdf222-a72d-4386-8029-2bf008ee6b8b,OU866-2195Y,MARELLI,Suspensão e Direção,5.43,15.3,58.0,12 meses,Alumínio,https://picsum.photos/seed/OU866-2195Y/200/300,11,865.44
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/ca576150-fba5-4bfc-b426-adcb029ba4cd,XE312-9326N,ACDELCO,Freios,2.0,28.4,20.9,12 meses,Borracha Sintética,https://picsum.photos/seed/XE312-9326N/200/300,135,950.23
RADIADOR,https://testdata.devmka.online/products/9ad296a8-d006-4368-8c57-99b8566bf82f,WD736-6054H,MARELLI,Sistema Elétrico,5.59,15.9,31.6,12 meses,Aço Carbono,https://picsum.photos/seed/WD736-6054H/200/300,175,527.39
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/c636771b-7c15-4fa4-abf3-b3c6db32b7d6,AD249-6709K,MONROE,Motor,10.38,49.5,39.4,12 meses,Aço Carbono,https://picsum.photos/seed/AD249-6709K/200/300,1,1435.61
MOTOR DE PARTIDA,https://testdata.devmka.online/products/55a8f34b-2aea-4cbc-809e-69447310df9b,DJ584-6088L,BREMBO,Suspensão e Direção,7.4,28.6,79.7,12 meses,Borracha Sintética,https://picsum.photos/seed/DJ584-6088L/200/300,194,1318.0
PASTILHA DE FREIO,https://testdata.devmka.online/products/3e3958ab-fab0-422b-8d29-ba956915dec5,NS044-7473A,NGK,Transmissão,4.7,40.8,57.8,12 meses,Aço Carbono,https://picsum.photos/seed/NS044-7473A/200/300,19,895.49
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/6c304cd0-4eff-4545-a836-2e13a97b8628,JB154-9156V,ACDELCO,Transmissão,2.67,23.2,76.9,12 meses,Aço Carbono,https://picsum.photos/seed/JB154-9156V/200/300,74,362.77
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/933132b3-f91e-45e7-833e-d427c8fa4fc3,YH275-0613R,SKF,Transmissão,7.08,7.1,54.9,12 meses,Alumínio,https://picsum.photos/seed/YH275-0613R/200/300,113,546.84
SONDA LAMBDA,https://testdata.devmka.online/products/94e457d2-18ea-44bb-bf92-0e7415bca80f,QX940-9013B,MONROE,Suspensão e Direção,2.01,44.6,41.6,12 meses,Borracha Sintética,https://picsum.photos/seed/QX940-9013B/200/300,106,168.25
ALTERNADOR,https://testdata.devmka.online/products/5d39bf3b-2f1c-4cd1-b460-aaa65d5cbf59,AV705-8947K,MARELLI,Suspensão e Direção,5.85,23.2,22.7,12 meses,Cerâmica,https://picsum.photos/seed/AV705-8947K/200/300,168,1343.45
RADIADOR,https://testdata.devmka.online/products/3275ff1a-cae5-45bd-a453-b3cc16f58af7,WP448-6150R,BREMBO,Sistema Elétrico,3.81,39.4,84.0,12 meses,Alumínio,https://picsum.photos/seed/WP448-6150R/200/300,125,830.21
SONDA LAMBDA,https://testdata.devmka.online/products/7e707232-91b1-4e2b-b0f1-c5128f517e5a,NY163-9076U,BREMBO,Freios,1.73,28.0,13.6,12 meses,Alumínio,https://picsum.photos/seed/NY163-9076U/200/300,52,862.09
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/2fc5256d-b75f-4b10-aa9e-8dcf504ae002,RE071-1843D,BOSCH,Transmissão,12.36,46.0,99.2,12 meses,Borracha Sintética,https://picsum.photos/seed/RE071-1843D/200/300,46,56.18
BICO INJETOR,https://testdata.devmka.online/products/da96a7f8-5652-4e46-a5d0-b1aa567edbd2,GP923-6172M,BOSCH,Sistema Elétrico,2.48,10.5,25.4,12 meses,Cerâmica,https://picsum.photos/seed/GP923-6172M/200/300,130,113.98
MOTOR DE PARTIDA,https://testdata.devmka.online/products/093d006c-14f3-40cb-a1c3-d617b90345e5,SR572-6018S,BOSCH,Filtros,4.59,19.1,69.1,12 meses,Borracha Sintética,https://picsum.photos/seed/SR572-6018S/200/300,162,1404.46
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/8ac880f8-eb59-4c81-8624-fe19e889b317,UQ714-3194S,ACDELCO,Sistema Elétrico,4.39,29.5,49.6,12 meses,Borracha Sintética,https://picsum.photos/seed/UQ714-3194S/200/300,142,160.31
ALTERNADOR,https://testdata.devmka.online/products/db1147fc-871c-41ab-85f8-e9f5586677e3,KQ555-6400K,MARELLI,Motor,3.93,19.8,66.5,12 meses,Aço Carbono,https://picsum.photos/seed/KQ555-6400K/200/300,124,405.58
ALTERNADOR,https://testdata.devmka.online/products/ed7ee5b5-c45c-4861-b1f6-18e340dd7c3e,EK697-0395A,ACDELCO,Filtros,8.03,30.3,51.4,12 meses,Alumínio,https://picsum.photos/seed/EK697-0395A/200/300,91,300.16
FILTRO DE AR DO MOTOR,https://testdata.devmka.online/products/0e0fcf46-8193-474a-a05b-0f79cf405bc4,OA270-1176A,ACDELCO,Transmissão,6.72,29.0,50.5,12 meses,Cerâmica,https://picsum.photos/seed/OA270-1176A/200/300,85,844.72
MOTOR DE PARTIDA,https://testdata.devmka.online/products/c5dba64a-2dd0-4d58-a8e4-f8bac2914726,LU160-6241S,ACDELCO,Motor,0.63,9.4,13.2,12 meses,Borracha Sintética,https://picsum.photos/seed/LU160-6241S/200/300,77,83.65
ALTERNADOR,https://testdata.devmka.online/products/4ca345f6-5d97-489c-a3cc-1b70a8caee7b,QA274-3244C,ACDELCO,Sistema Elétrico,6.17,46.1,84.6,12 meses,Aço Carbono,https://picsum.photos/seed/QA274-3244C/200/300,32,1089.62
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/5cb9c82d-192b-46ad-9101-bdecd479d37e,NF730-8280R,ACDELCO,Sistema Elétrico,14.43,26.9,37.8,12 meses,Aço Carbono,https://picsum.photos/seed/NF730-8280R/200/300,190,538.73
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/5c5c40e6-2f6f-44d2-8bd3-d0fcb9c16539,BH711-5353U,MARELLI,Filtros,6.82,28.4,92.8,12 meses,Alumínio,https://picsum.photos/seed/BH711-5353U/200/300,124,58.29
BICO INJETOR,https://testdata.devmka.online/products/f776d0b0-4dae-40f8-8554-b2e5c369bd6e,AH020-4754W,ACDELCO,Suspensão e Direção,8.01,9.8,31.7,12 meses,Cerâmica,https://picsum.photos/seed/AH020-4754W/200/300,115,1235.01
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/db00e6bf-41c7-42e2-871b-abae0e116c6b,GL284-9211V,NGK,Filtros,12.19,23.0,82.7,12 meses,Alumínio,https://picsum.photos/seed/GL284-9211V/200/300,63,1415.07
KIT DE EMBREAGEM,https://testdata.devmka.online/products/f2d1b08e-b7b8-416b-a538-29f419c341bc,FR936-5523R,BREMBO,Motor,5.21,11.3,63.5,12 meses,Cerâmica,https://picsum.photos/seed/FR936-5523R/200/300,190,1011.83
ROLAMENTO DE RODA,https://testdata.devmka.online/products/c2ae9c6e-3b86-4779-93bf-a31a06739483,DA942-4790G,SKF,Suspensão e Direção,6.21,14.0,78.4,12 meses,Borracha Sintética,https://picsum.photos/seed/DA942-4790G/200/300,110,1400.26
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/d69f7b94-3c63-45b6-8b59-9c1ba5194ee4,LJ935-4701K,NGK,Transmissão,3.07,32.3,66.7,12 meses,Aço Carbono,https://picsum.photos/seed/LJ935-4701K/200/300,188,234.8
CORREIA DENTADA,https://testdata.devmka.online/products/0fd9b63a-c420-41f8-a048-501edd5ecf9a,AF400-3850O,NGK,Sistema Elétrico,10.87,11.8,23.6,12 meses,Alumínio,https://picsum.photos/seed/AF400-3850O/200/300,29,1239.11
FILTRO DE ÓLEO,https://testdata.devmka.online/products/5f7c51ec-12be-41f0-b16c-bed3cec848ea,OQ037-5831G,BREMBO,Transmissão,1.46,47.5,65.8,12 meses,Cerâmica,https://picsum.photos/seed/OQ037-5831G/200/300,103,905.03
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/2415220c-2c28-459e-a977-f1e4e1c9378b,YO901-9746U,BREMBO,Freios,1.62,10.3,80.4,12 meses,Aço Carbono,https://picsum.photos/seed/YO901-9746U/200/300,17,564.26
MOTOR DE PARTIDA,https://testdata.devmka.online/products/cf51a269-df09-4362-a369-930ec713092e,FD334-0525Z,BOSCH,Motor,1.58,49.7,87.8,12 meses,Cerâmica,https://picsum.photos/seed/FD334-0525Z/200/300,29,335.62
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/4cbcb87f-c077-434c-8aaa-6ae337e7322f,YN257-1758M,ACDELCO,Freios,4.98,25.7,48.8,12 meses,Aço Carbono,https://picsum.photos/seed/YN257-1758M/200/300,18,121.74
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/e12a483f-cd7d-4b0f-be99-1cd58e32efff,SM580-9583A,ACDELCO,Motor,8.46,24.2,59.8,12 meses,Alumínio,https://picsum.photos/seed/SM580-9583A/200/300,140,234.24
FILTRO DE ÓLEO,https://testdata.devmka.online/products/76edc9bb-f39d-4454-9f51-fa00a96df0e9,VQ533-0916H,SKF,Sistema Elétrico,1.31,42.7,35.1,12 meses,Aço Carbono,https://picsum.photos/seed/VQ533-0916H/200/300,105,1138.38
BICO INJETOR,https://testdata.devmka.online/products/0a866c81-493b-4255-9d09-014adbb7f469,IH053-4448A,SKF,Motor,0.81,21.1,80.7,12 meses,Cerâmica,https://picsum.photos/seed/IH053-4448A/200/300,139,1208.74
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/1999e44b-2813-49fa-b002-40e201130bad,NK227-9533A,MONROE,Filtros,8.17,24.2,38.5,12 meses,Alumínio,https://picsum.photos/seed/NK227-9533A/200/300,147,234.22
SONDA LAMBDA,https://testdata.devmka.online/products/6544a4cf-9151-41dc-8960-0e4a39dbc4ef,XL904-7978N,ACDELCO,Sistema Elétrico,7.9,17.1,56.5,12 meses,Cerâmica,https://picsum.photos/seed/XL904-7978N/200/300,184,1434.61
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/aeb47581-9330-44ad-bab6-b5adfea4aa39,VF167-0833O,ACDELCO,Filtros,13.17,39.4,73.6,12 meses,Borracha Sintética,https://picsum.photos/seed/VF167-0833O/200/300,190,194.09
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/5f184cb3-7246-4c7e-b942-ddb284d9825f,HT936-5346B,NGK,Transmissão,7.96,9.8,53.8,12 meses,Cerâmica,https://picsum.photos/seed/HT936-5346B/200/300,26,210.04
ROLAMENTO DE RODA,https://testdata.devmka.online/products/088620be-d289-4969-a544-0cc24578e0f8,SA803-6968L,MONROE,Motor,14.84,43.8,26.1,12 meses,Alumínio,https://picsum.photos/seed/SA803-6968L/200/300,198,1484.9
MOTOR DE PARTIDA,https://testdata.devmka.online/products/706a82e7-0da6-4437-b467-5cddde59ea54,VO976-5453F,BREMBO,Freios,2.29,40.9,14.6,12 meses,Aço Carbono,https://picsum.photos/seed/VO976-5453F/200/300,105,1215.18
KIT DE EMBREAGEM,https://testdata.devmka.online/products/113febe7-b100-494c-9520-3681c6f7431c,GO446-6626A,MONROE,Freios,5.21,15.3,48.5,12 meses,Cerâmica,https://picsum.photos/seed/GO446-6626A/200/300,136,1163.21
KIT DE EMBREAGEM,https://testdata.devmka.online/products/726fec89-0f2b-4d7d-944a-6d6cd200bd5a,PL312-6899B,MARELLI,Filtros,7.96,8.0,51.5,12 meses,Borracha Sintética,https://picsum.photos/seed/PL312-6899B/200/300,55,623.44
BICO INJETOR,https://testdata.devmka.online/products/cc89e177-0f36-44c9-aabb-86ac38d0b681,PD370-4475Q,ACDELCO,Motor,2.73,37.7,64.8,12 meses,Alumínio,https://picsum.photos/seed/PD370-4475Q/200/300,30,1364.63
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/8950829f-eab7-47a6-9288-940841b244e1,XU674-4716T,ACDELCO,Motor,9.29,23.2,77.4,12 meses,Borracha Sintética,https://picsum.photos/seed/XU674-4716T/200/300,51,81.56
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/122839d3-ef32-4074-9557-3e12e6c4857c,VN677-6759L,MARELLI,Freios,2.22,45.7,27.5,12 meses,Alumínio,https://picsum.photos/seed/VN677-6759L/200/300,142,239.83
PASTILHA DE FREIO,https://testdata.devmka.online/products/f0c3cfa2-99df-4cae-9500-d2d47a5a53f4,HB874-4914B,ACDELCO,Transmissão,10.44,20.7,47.7,12 meses,Cerâmica,https://picsum.photos/seed/HB874-4914B/200/300,61,382.89
FILTRO DE ÓLEO,https://testdata.devmka.online/products/89f6431f-3822-4cf3-aecd-e89d7bb17e77,CI284-4449R,BREMBO,Suspensão e Direção,3.62,29.1,46.0,12 meses,Aço Carbono,https://picsum.photos/seed/CI284-4449R/200/300,76,995.9
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/f0d06a3a-4db2-4cee-90b2-00e65dd44616,DS014-5539U,MONROE,Sistema Elétrico,2.06,5.0,75.5,12 meses,Borracha Sintética,https://picsum.photos/seed/DS014-5539U/200/300,116,1026.99
FILTRO DE AR DO MOTOR,https://testdata.devmka.online/products/1bf6f39f-e288-4e08-8a47-55de3a118a5e,GE103-7332D,BREMBO,Motor,6.18,48.9,49.9,12 meses,Alumínio,https://picsum.photos/seed/GE103-7332D/200/300,134,504.77
SONDA LAMBDA,https://testdata.devmka.online/products/27de97f9-da68-439e-9d79-d241698e4b5f,AU376-4700Q,SKF,Sistema Elétrico,12.65,29.9,17.9,12 meses,Borracha Sintética,https://picsum.photos/seed/AU376-4700Q/200/300,39,964.63
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/d5a3f744-9bcf-4de6-8899-dbd3d9b68aa2,FO188-6098I,SKF,Sistema Elétrico,9.48,10.4,72.0,12 meses,Alumínio,https://picsum.photos/seed/FO188-6098I/200/300,66,1413.94
ALTERNADOR,https://testdata.devmka.online/products/f89b31fe-ac32-471d-b7d8-8a473fcd723c,FX399-3256H,BOSCH,Transmissão,5.19,22.3,96.3,12 meses,Borracha Sintética,https://picsum.photos/seed/FX399-3256H/200/300,56,908.98
PASTILHA DE FREIO,https://testdata.devmka.online/products/1247a3f1-1bdb-4059-9361-8fe622b7ac17,DT336-2783J,BREMBO,Suspensão e Direção,3.73,32.7,66.6,12 meses,Cerâmica,https://picsum.photos/seed/DT336-2783J/200/300,125,1383.86
FILTRO DE ÓLEO,https://testdata.devmka.online/products/6cd3b892-2df0-4c99-8c8e-157a5a3a2c45,XK614-0996Q,SKF,Motor,7.89,37.0,89.3,12 meses,Borracha Sintética,https://picsum.photos/seed/XK614-0996Q/200/300,170,813.35
CORREIA DENTADA,https://testdata.devmka.online/products/43f4821f-b348-4021-938a-9d784dd5c039,SC091-1203L,BREMBO,Transmissão,14.35,30.2,31.9,12 meses,Borracha Sintética,https://picsum.photos/seed/SC091-1203L/200/300,176,707.99
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/ee71cfdb-831d-4f03-bf6d-b06861fd4701,CP531-0479B,BREMBO,Filtros,13.95,39.3,64.5,12 meses,Cerâmica,https://picsum.photos/seed/CP531-0479B/200/300,182,1438.16
MOTOR DE PARTIDA,https://testdata.devmka.online/products/89c95036-0dc6-4ded-abcc-8d26081c8d63,AQ440-6701B,MONROE,Suspensão e Direção,7.88,6.1,48.8,12 meses,Cerâmica,https://picsum.photos/seed/AQ440-6701B/200/300,195,498.97
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/0b339715-3063-419e-9913-a030cdcc009c,DW365-7767T,ACDELCO,Sistema Elétrico,10.39,25.1,80.7,12 meses,Cerâmica,https://picsum.photos/seed/DW365-7767T/200/300,106,97.62
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/d10b9af9-923c-43e9-977f-55fa86fac514,KC610-1080I,BREMBO,Transmissão,0.36,10.9,84.6,12 meses,Alumínio,https://picsum.photos/seed/KC610-1080I/200/300,72,223.31
BICO INJETOR,https://testdata.devmka.online/products/18a83bff-7535-4d1e-a7ef-9aae30253b3e,IF700-9731T,NGK,Sistema Elétrico,10.66,26.2,74.2,12 meses,Cerâmica,https://picsum.photos/seed/IF700-9731T/200/300,89,1138.59
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/c969cd56-770f-48c4-b4cd-463f518a7134,IO581-0473G,SKF,Filtros,4.35,20.2,64.0,12 meses,Alumínio,https://picsum.photos/seed/IO581-0473G/200/300,135,478.63
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/2acd71e5-0bb8-42f7-93a6-34c254ca9360,VO430-8522G,BOSCH,Suspensão e Direção,1.66,6.3,75.4,12 meses,Aço Carbono,https://picsum.photos/seed/VO430-8522G/200/300,96,1437.44
SONDA LAMBDA,https://testdata.devmka.online/products/20620e4c-0e9e-402c-98b9-ee82a90e0e5c,VZ685-2613D,NGK,Filtros,7.33,34.5,41.8,12 meses,Aço Carbono,https://picsum.photos/seed/VZ685-2613D/200/300,4,215.01
ROLAMENTO DE RODA,https://testdata.devmka.online/products/e2f899e0-7ecc-4071-9523-81cd3e427dbd,RO374-4414O,ACDELCO,Motor,5.11,21.0,82.9,12 meses,Borracha Sintética,https://picsum.photos/seed/RO374-4414O/200/300,83,739.82
RADIADOR,https://testdata.devmka.online/products/25ac7555-e6ce-47e1-9912-a7d947453e73,TT157-1232S,BOSCH,Filtros,13.6,33.6,65.8,12 meses,Borracha Sintética,https://picsum.photos/seed/TT157-1232S/200/300,155,846.73
PASTILHA DE FREIO,https://testdata.devmka.online/products/90d026d1-0b8e-4b1f-8658-1a2f725d1890,OF032-7022J,MARELLI,Suspensão e Direção,6.66,24.7,40.9,12 meses,Borracha Sintética,https://picsum.photos/seed/OF032-7022J/200/300,189,434.43
DISCO DE FREIO,https://testdata.devmka.online/products/22d7366f-c0bf-4d75-90cd-bdb2dbb8ce1e,SO270-0646F,NGK,Freios,13.0,12.2,97.4,12 meses,Alumínio,https://picsum.photos/seed/SO270-0646F/200/300,129,392.35
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/a0be5309-c7fd-49e9-9e86-808f92cf94e3,QM505-6137H,MARELLI,Filtros,4.83,34.7,19.0,12 meses,Aço Carbono,https://picsum.photos/seed/QM505-6137H/200/300,96,549.3
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/b5b15258-1c8e-4a99-98a6-c045e7520ece,HF499-5720G,BREMBO,Filtros,1.44,20.1,28.7,12 meses,Alumínio,https://picsum.photos/seed/HF499-5720G/200/300,147,504.83
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/9d60d7b2-27e7-437b-9bf2-896724c29a07,QQ367-1276W,BOSCH,Filtros,5.53,5.0,45.5,12 meses,Alumínio,https://picsum.photos/seed/QQ367-1276W/200/300,130,436.6
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/ff33710f-f73d-4f23-9a1b-df49ef682125,WD609-9445F,BOSCH,Transmissão,7.6,21.4,54.7,12 meses,Cerâmica,https://picsum.photos/seed/WD609-9445F/200/300,91,1149.23
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/72c458bd-8719-44bf-8aec-0cf90c04d05b,TU285-9346N,BOSCH,Motor,3.93,20.5,23.0,12 meses,Alumínio,https://picsum.photos/seed/TU285-9346N/200/300,156,734.25
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/117f6642-27ea-449f-9f7d-21b2e72efb77,QF843-4969U,NGK,Motor,4.62,41.1,58.8,12 meses,Aço Carbono,https://picsum.photos/seed/QF843-4969U/200/300,35,1251.88
BICO INJETOR,https://testdata.devmka.online/products/abd60671-b679-4403-8a3c-809c2aed404d,IW463-4893Z,MONROE,Sistema Elétrico,10.81,6.4,49.7,12 meses,Cerâmica,https://picsum.photos/seed/IW463-4893Z/200/300,119,778.59
FILTRO DE ÓLEO,https://testdata.devmka.online/products/188b0b17-55bd-422d-8d6a-4ed6906ba418,PX010-1095S,MONROE,Freios,10.46,14.3,74.4,12 meses,Borracha Sintética,https://picsum.photos/seed/PX010-1095S/200/300,129,186.48
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/c225f045-c4e4-419c-875a-29925a1c6d9b,LS723-6060T,MARELLI,Suspensão e Direção,2.69,49.2,24.8,12 meses,Borracha Sintética,https://picsum.photos/seed/LS723-6060T/200/300,102,1392.97
DISCO DE FREIO,https://testdata.devmka.online/products/f940b0ad-c192-42f4-851a-bf540e3874e9,QF397-5851C,BREMBO,Filtros,0.36,43.2,37.1,12 meses,Borracha Sintética,https://picsum.photos/seed/QF397-5851C/200/300,25,545.86
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/732c8ebb-6d1e-4ff2-bec1-80c19425a5e9,TI901-7741R,MARELLI,Motor,12.62,9.5,37.8,12 meses,Aço Carbono,https://picsum.photos/seed/TI901-7741R/200/300,43,1437.9
CORREIA DENTADA,https://testdata.devmka.online/products/0170207f-023e-41ca-b453-fe9ed6974539,CO939-9763Q,BREMBO,Motor,7.28,46.1,87.8,12 meses,Cerâmica,https://picsum.photos/seed/CO939-9763Q/200/300,84,1187.16
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/58735b3d-741a-4a4c-8b2f-fd46d562e14d,ZN972-6388B,MONROE,Sistema Elétrico,0.65,27.9,63.1,12 meses,Borracha Sintética,https://picsum.photos/seed/ZN972-6388B/200/300,184,986.44
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/f0ba3638-7a79-4ed9-b65e-81fe2ededc54,VF409-0780U,BOSCH,Freios,6.65,21.3,10.6,12 meses,Alumínio,https://picsum.photos/seed/VF409-0780U/200/300,91,1110.56
PASTILHA DE FREIO,https://testdata.devmka.online/products/699c395c-f4a9-4d6c-a0a1-a44d54654076,BR058-3367J,NGK,Transmissão,2.1,16.0,65.2,12 meses,Aço Carbono,https://picsum.photos/seed/BR058-3367J/200/300,6,214.47
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/49b41be6-8965-4a83-b628-a54268a94505,JT379-4956K,ACDELCO,Suspensão e Direção,3.97,16.8,81.9,12 meses,Borracha Sintética,https://picsum.photos/seed/JT379-4956K/200/300,171,842.68
ROLAMENTO DE RODA,https://testdata.devmka.online/products/9588cc2f-034c-471f-a64d-c94d84ce6fe5,LY393-2413P,NGK,Filtros,13.73,6.4,85.5,12 meses,Cerâmica,https://picsum.photos/seed/LY393-2413P/200/300,63,374.56
RADIADOR,https://testdata.devmka.online/products/5f24c18e-798f-49a1-85a2-625d4c0667c7,OM797-8264Y,NGK,Freios,8.18,21.6,87.9,12 meses,Cerâmica,https://picsum.photos/seed/OM797-8264Y/200/300,86,787.59
FILTRO DE ÓLEO,https://testdata.devmka.online/products/5410b77a-b696-4aaa-9533-e5b0976cce7e,ET696-2666P,NGK,Filtros,2.16,10.5,26.4,12 meses,Aço Carbono,https://picsum.photos/seed/ET696-2666P/200/300,137,1056.86
